Respondent_ID,Cluster,Dataset
S1_Several periods (intermittent),0,S1
S1_Several periods (intermittent),0,S1
S1_After 2021,0,S1
S1_2016–2021,0,S1
S1_2016–2021,0,S1
"S1_2016–2021, after 2021",0,S1
S1_2016–2021,0,S1
"S1_2011–2015, 2016–2021",0,S1
S1_2011–2015,0,S1
S1_After 2021,0,S1
S1_2011–2015,0,S1
"S1_2011–2015, 2016–2021",0,S1
S1_2011–2015,0,S1
S1_2006 – 2010,0,S1
"S1_2016–2021, after 2021, several periods (intermittent)",0,S1
S1_After 2021,0,S1
S1_Intermittent periods,0,S1
S1_2016–2021,0,S1
S1_2011–2015,0,S1
S1_2016–2021,0,S1
S1_2016–2021,0,S1
S1_2016–2021,0,S1
S1_2016–2021,0,S1
S1_2016–2021,0,S1
S1_Multiple periods (intermittent),0,S1
S2_ID_S2_001,0,S2
S2_ID_S2_002,0,S2
S2_ID_S2_003,0,S2
S2_ID_S2_004,0,S2
S2_ID_S2_005,0,S2
S2_ID_S2_006,0,S2
S2_ID_S2_007,0,S2
S2_ID_S2_008,0,S2
S2_ID_S2_009,0,S2
S2_ID_S2_010,0,S2
S2_ID_S2_011,0,S2
S2_ID_S2_012,0,S2
S2_ID_S2_013,0,S2
S2_ID_S2_014,0,S2
S2_ID_S2_015,0,S2
S2_ID_S2_016,2,S2
S2_ID_S2_017,0,S2
S2_ID_S2_018,0,S2
S2_ID_S2_019,0,S2
S2_ID_S2_020,2,S2
S2_ID_S2_021,0,S2
S2_ID_S2_022,1,S2
S2_ID_S2_023,0,S2
S2_ID_S2_024,0,S2
S2_ID_S2_025,2,S2
